Walk1701,0.0099725754,0.051524973,0.0612738047,0.0405615327
Walk1702,0.0220825548,0.0373704773,0.0535077289,0.0343506408
Walk1703,0.0230987918,0.0595238095,0.0843994314,0.0408670931
Walk1704,0.0252596127,0.037889419,0.0766208251,0.0370474319
Walk1705,0.0280155642,0.0354863813,0.0224124514,0.0326848249
Walk1706,0.0222857143,0.0557142857,0.0308571429,0.0257142857
Walk1707,0.0214260207,0.0795407954,0.032800328,0.0385403854
Walk1708,0.0195351633,0.0644409938,0.0217391304,0.0333850932
Walk1701,0.0099725754,0.051524973,0.041424544,0.0405615327
Walk1702,0.0220825548,0.0373704773,0.0322745031,0.0343506408
Walk1703,0.0230987918,0.0595238095,0.0613006397,0.0408670931
Walk1704,0.0252596127,0.037889419,0.0538871737,0.0370474319
Walk1705,0.0280155642,0.0354863813,0.0205447471,0.0326848249
Walk1706,0.0222857143,0.0557142857,0.0368571429,0.0257142857
Walk1707,0.0214260207,0.0795407954,0.0237802378,0.0385403854
Walk1708,0.0195351633,0.0644409938,0.0209627329,0.0333850932
Walk1701,0.0099725754,0.051524973,0.041424544,0.0405615327
Walk1702,0.0220825548,0.0373704773,0.0322745031,0.0343506408
Walk1703,0.0230987918,0.0595238095,0.0613006397,0.0408670931
Walk1704,0.0252596127,0.037889419,0.0538871737,0.0370474319
Walk1705,0.0280155642,0.0354863813,0.0205447471,0.0326848249
Walk1706,0.0222857143,0.0557142857,0.0368571429,0.0257142857
Walk1707,0.0214260207,0.0795407954,0.0237802378,0.0385403854
Walk1708,0.0195351633,0.0644409938,0.0209627329,0.0333850932
Walk1701,0.0099725754,8.6744785174,0.041424544,0.0405615327
Walk1701,0.0099725754,0.0465386853,0.041424544,0.0405615327
Walk1702,0.0220825548,0.0416171225,0.0322745031,0.0343506408
Walk1703,0.0230987918,0.0639658849,0.0613006397,0.0408670931
Walk1704,0.0252596127,0.0429413416,0.0538871737,0.0370474319
Walk1705,0.0280155642,0.0392217899,0.0205447471,0.0326848249
Walk1706,0.0222857143,0.042,0.0368571429,0.0257142857
Walk1707,0.0214260207,0.0598605986,0.0237802378,0.0385403854
Walk1708,0.0195351633,0.051242236,0.0209627329,0.0333850932
,0.0214594996,0.0484234573,0.0363789652,0.035393911
